animal,pelos,penas,ovos,leite,salta,aquatico,predador,dentes,espinha_dorsal,respira,venenoso,nadadeiras,cauda,pernas,tipo
porco formigueiro,1,0,0,1,0,0,1,1,1,1,0,0,0,4,1
antílope,1,0,0,1,0,0,0,1,1,1,0,0,1,4,1
robalo,0,0,1,0,0,1,1,1,1,0,0,1,1,0,4
urso,1,0,0,1,0,0,1,1,1,1,0,0,0,4,1
javali,1,0,0,1,0,0,1,1,1,1,0,0,1,4,1
búfalo,1,0,0,1,0,0,0,1,1,1,0,0,1,4,1
bezerro,1,0,0,1,0,0,0,1,1,1,0,0,1,4,1
carpa,0,0,1,0,0,1,0,1,1,0,0,1,1,0,4
bagre,0,0,1,0,0,1,1,1,1,0,0,1,1,0,4
preá,1,0,0,1,0,0,0,1,1,1,0,0,0,4,1
chita,1,0,0,1,0,0,1,1,1,1,0,0,1,4,1
frango,0,1,1,0,1,0,0,0,1,1,0,0,1,2,2
chub,0,0,1,0,0,1,1,1,1,0,0,1,1,0,4
marisco,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7
caranguejo,0,0,1,0,0,1,1,0,0,0,0,0,0,4,7
lagostim,0,0,1,0,0,1,1,0,0,0,0,0,0,6,7
corvo,0,1,1,0,1,0,1,0,1,1,0,0,1,2,2
veado,1,0,0,1,0,0,0,1,1,1,0,0,1,4,1
cação,0,0,1,0,0,1,1,1,1,0,0,1,1,0,4
golfinho,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1
pomba,0,1,1,0,1,0,0,0,1,1,0,0,1,2,2
pato,0,1,1,0,1,1,0,0,1,1,0,0,1,2,2
elefante,1,0,0,1,0,0,0,1,1,1,0,0,1,4,1
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,1,2,2
pulga,0,0,1,0,0,0,0,0,0,1,0,0,0,6,6
sapo,0,0,1,0,0,1,1,1,1,1,0,0,0,4,5
sapo,0,0,1,0,0,1,1,1,1,1,1,0,0,4,5
morcego,1,0,0,1,1,0,0,1,1,1,0,0,1,2,1
girafa,1,0,0,1,0,0,0,1,1,1,0,0,1,4,1
menina,1,0,0,1,0,0,1,1,1,1,0,0,0,2,1
mosquito,0,0,1,0,1,0,0,0,0,1,0,0,0,6,6
cabra,1,0,0,1,0,0,0,1,1,1,0,0,1,4,1
gorila,1,0,0,1,0,0,0,1,1,1,0,0,0,2,1
gaivota,0,1,1,0,1,1,1,0,1,1,0,0,1,2,2
arinca,0,0,1,0,0,1,0,1,1,0,0,1,1,0,4
hamster,1,0,0,1,0,0,0,1,1,1,0,0,1,4,1
lebre,1,0,0,1,0,0,0,1,1,1,0,0,1,4,1
falcão,0,1,1,0,1,0,1,0,1,1,0,0,1,2,2
arenque,0,0,1,0,0,1,1,1,1,0,0,1,1,0,4
abelha,1,0,1,0,1,0,0,0,0,1,1,0,0,6,6
mosca doméstica,1,0,1,0,1,0,0,0,0,1,0,0,0,6,6
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,1,2,2
joaninha,0,0,1,0,1,0,1,0,0,1,0,0,0,6,6
cotovia,0,1,1,0,1,0,0,0,1,1,0,0,1,2,2
leopardo,1,0,0,1,0,0,1,1,1,1,0,0,1,4,1
leão,1,0,0,1,0,0,1,1,1,1,0,0,1,4,1
lagosta,0,0,1,0,0,1,1,0,0,0,0,0,0,6,7
lince,1,0,0,1,0,0,1,1,1,1,0,0,1,4,1
vison,1,0,0,1,0,1,1,1,1,1,0,0,1,4,1
toupeira,1,0,0,1,0,0,1,1,1,1,0,0,1,4,1
mangusto,1,0,0,1,0,0,1,1,1,1,0,0,1,4,1
mariposa,1,0,1,0,1,0,0,0,0,1,0,0,0,6,6
tritão,0,0,1,0,0,1,1,1,1,1,0,0,1,4,5
polvo,0,0,1,0,0,1,1,0,0,0,0,0,0,8,7
gambá,1,0,0,1,0,0,1,1,1,1,0,0,1,4,1
órix,1,0,0,1,0,0,0,1,1,1,0,0,1,4,1
avestruz,0,1,1,0,0,0,0,0,1,1,0,0,1,2,2
periquito,0,1,1,0,1,0,0,0,1,1,0,0,1,2,2
pinguim,0,1,1,0,0,1,1,0,1,1,0,0,1,2,2
faisão,0,1,1,0,1,0,0,0,1,1,0,0,1,2,2
lúcio,0,0,1,0,0,1,1,1,1,0,0,1,1,0,4
piranha,0,0,1,0,0,1,1,1,1,0,0,1,1,0,4
crotalinae,0,0,1,0,0,0,1,1,1,1,1,0,1,0,3
ornitorrinco,1,0,1,1,0,1,1,0,1,1,0,0,1,4,1
doninha,1,0,0,1,0,0,1,1,1,1,0,0,1,4,1
ponei,1,0,0,1,0,0,0,1,1,1,0,0,1,4,1
boto,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1
puma,1,0,0,1,0,0,1,1,1,1,0,0,1,4,1
gatinho,1,0,0,1,0,0,1,1,1,1,0,0,1,4,1
guaxinim,1,0,0,1,0,0,1,1,1,1,0,0,1,4,1
rena,1,0,0,1,0,0,0,1,1,1,0,0,1,4,1
ema,0,1,1,0,0,0,1,0,1,1,0,0,1,2,2
escorpião,0,0,0,0,0,0,1,0,0,1,1,0,1,8,7
cavalo-marinho,0,0,1,0,0,1,0,1,1,0,0,1,1,0,4
foca,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1
leão marinho,1,0,0,1,0,1,1,1,1,1,0,1,1,2,1
cobra da agua,0,0,0,0,0,1,1,1,1,0,1,0,1,0,3
agua viva,0,0,1,0,0,1,1,0,0,0,1,0,0,0,7
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,1,2,2
mandrião,0,1,1,0,1,1,1,0,1,1,0,0,1,2,2
licranço,0,0,1,0,0,0,1,1,1,1,0,0,1,0,3
lesma,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7
sole,0,0,1,0,0,1,0,1,1,0,0,1,1,0,4
pardal,0,1,1,0,1,0,0,0,1,1,0,0,1,2,2
esquilo,1,0,0,1,0,0,0,1,1,1,0,0,1,2,1
estrela do mar,0,0,1,0,0,1,1,0,0,0,0,0,0,5,7
arraia,0,0,1,0,0,1,1,1,1,0,1,1,1,0,4
cisne,0,1,1,0,1,1,0,0,1,1,0,0,1,2,2
cupim,0,0,1,0,0,0,0,0,0,1,0,0,0,6,6
bufo,0,0,1,0,0,1,0,1,1,1,0,0,0,4,5
tartaruga,0,0,1,0,0,0,0,0,1,1,0,0,1,4,3
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,1,4,3
atum,0,0,1,0,0,1,1,1,1,0,0,1,1,0,4
vampiro,1,0,0,1,1,0,0,1,1,1,0,0,1,2,1
ratogana,1,0,0,1,0,0,0,1,1,1,0,0,1,4,1
abutre,0,1,1,0,1,0,1,0,1,1,0,0,1,2,2
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,1,2,1
vespa,1,0,1,0,1,0,0,0,0,1,1,0,0,6,6
lobo,1,0,0,1,0,0,1,1,1,1,0,0,1,4,1
verme,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7
carriça,0,1,1,0,1,0,0,0,1,1,0,0,1,2,2
